/* 64- and 128- Bit Instructions */
/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency; */
/*              +Memory Latency;Throughput;Category  */
/*  By default, if an instruction has no character to its left, this means */
/*  that there is always a 2-cycle difference between that instruction have */
/*  only xmmister operands and that instruction having a memory operand. */
/*  Any instruction that has a memory operand as its second operand is a */
/*  LOAD. Instructions with an * in front of them means that the operands */
/*  must be inspected before you can tell which        */
/*  execution it will use and, therefore, its latency. */

/* WALEED: notes, I'm making a line for each unique combination of operands */
/*   I'm also removing the memory + latency because that should be taken care of in the model and since */
/*   We are reading a detailed instruction mix, each line of which should hit in exactly one line here */ 
/* also, replaced all CL/.. references with 'reg' and constant '1''s with 'imm'
// all entries with unspecified reg size, replaced to reg8/16/32/64
// finally, entries with unspecified 'mem' size also replaced to mem8/mem16/mem32/mem64

*MOV     reg32/reg64,mem                                           MOV     single  ALU       1    0    2/1   ALU-1

*MOVSX    reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64            MOV     single  ALU       1    0    3/1   ALU-1
*MOVZX    reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64            MOV     single  ALU       1    0    3/1   ALU-1
*MOVSX    reg8/reg16/reg32/reg64,mem                               MOV     single  ALU       2    0    2/1   ALU-1
*MOVZX    reg8/reg16/reg32/reg64,mem                               MOV     single  ALU       2    0    2/1   ALU-1
*MOVSXD   reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64            MOV     single  ALU       1    0    3/1   ALU-1
*MOVSXD   reg8/reg16/reg32/reg64,mem                               MOV     single  ALU       2    0    2/1   ALU-1

SAHF     none            FLAGS   single  ALU       1    0    3/1   ALU-1
/* The cc in SET is a condition code.  These are in the */
/* instruction manual, 24594.pdf page 225. */
*SETCC    reg8/reg16/reg32/reg64             SETF    single  ALU       1    0    3/1   ALU-1
*SETCC    mem8/mem16/mem32/mem64             SETF    single  ALU       1    0    2/1   ALU-1
*SHLD    mem/reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64,imm                         SHIFT   vector  ALU        4    0    1/2   ALU-4 
*SHLD    mem/reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64      SHIFT   vector  ALU        4    0    1/3   ALU-4 
*SHLD    mem8/mem16/mem32/mem64,imm                                                    SHIFT   vector  ALU        4    0    1/6   ALU-4 
*SHRD    mem8/mem16/mem32/mem64,imm                                                    SHIFT   single  ALU        1    0    1/1   ALU-1 
*SHRD    reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm                             SHIFT   single  ALU        1    0    1/1   ALU-1
*SHRD    reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm      SHIFT   vector  ALU        4    0    1/3   ALU-4 
*SHRD    mem,reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm                         SHIFT   vector  ALU        4    0    1/6   ALU-4 
STC      none                                SETF    single  ALU       1    0    3/1   ALU-1
STD      none                                SETF    double  ALU       2    0    3/2   ALU-2

*POPCNT   reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/mem         POP     single  ALU2      2    3    1/1   ALU-2 

*XADD    reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         ADD     vector  ALU       2    0    1/1   ALU-2 
*XADD    mem,reg8/reg16/reg32/reg64                            ADD     vector  ALU       5    0    1/1   STORE-5


*XCHG    reg8,reg8                                             XCHG    vector  ALU       2    0    1/1   ALU-2
*XCHG    reg16/reg32/reg64,reg16/reg32/reg64                   XCHG    double  ALU       1    0    1/1   ALU-2
*XCHG    reg8,mem                                              XCHG    vector  ALU       16   0    1/1   ALU-2
*XCHG    reg16,mem                                             XCHG    double  ALU       16   0    1/1   ALU-2
*XCHG    reg32/reg64,mem                                       XCHG    double  ALU       15   0    1/1   ALU-2
*XCHG    mem8,reg8                                             XCHG    vector  ALU       16   0    1/1   STORE-16
*XCHG    mem16,reg16                                           XCHG    double  ALU       16   0    1/1   STORE-16
*XCHG    mem32/mem64,reg32/reg64                               XCHG    double  ALU       15   0    1/1   STORE-15

*IMUL    reg8/mem8                                             MUL     single  ALU0       3    0    1/1   ALU-3 
*IMUL    reg16/mem16                                           MUL     vector  ALU0       4    0    1/2   ALU-3 
*IMUL    reg32/mem32                                           MUL     double  ALU0       3    0    1/1   ALU-3 
*IMUL    reg64/mem64                                           MUL     double  ALU0       5    0    1/2   ALU-3 
*IMUL    reg16/reg32,reg16/reg32                               MUL     single  ALU0       3    0    1/3   ALU-3 
*IMUL    reg16/reg32,mem16/mem32                               MUL     single  ALU0       3    0    1/3   ALU-3 
*IMUL    reg64,reg64/mem64                                     MUL     single  ALU0       4    0    1/2   ALU-3 
*IMUL    reg16,reg16,imm                                       MUL     vector  ALU0       4    0    1/1   ALU-4 
*IMUL    reg32,reg32,imm                                       MUL     single  ALU0       3    0    1/1   ALU-4 
*IMUL    reg64,reg64,imm                                       MUL     single  ALU0       4    0    1/1   ALU-4 
*IMUL    reg8/reg16/reg32,mem8/mem16/mem32,imm                 MUL     vector  ALU0       4    0    1/2   ALU-4 
*IMUL    reg64,mem64,imm                                       MUL     vector  ALU0       5    0    1/2   ALU-4 
*MUL     reg8/mem8                                             MUL     single  ALU0       3    0      1/1   ALU-3 
*MUL     reg16/mem16                                           MUL     vector  ALU0       4    0    1/2   ALU-3 
*MUL     reg32/mem32                                           MUL     double  ALU0       3    0    1/1   ALU-3 
*MUL     reg64/mem64                                           MUL     double  ALU0       5    0    1/2   ALU-3 

*PUSH    mem8/mem16/mem32/mem64             STACK   double  ALU        3    0    1/1   ALU-3 
*PUSH    reg8/reg16/reg32/reg64/imm         STACK   double  ALU        3    0    2/1   ALU-3
PUSHA    mem16,reg16                        STACK   vector  ALU       6    0    1/6   ALU-6
PUSHAD   mem32,reg32                        STACK   vector  ALU       6    0    1/6   ALU-6
PUSHF    mem16,reg                          STACK   vector  ALU       3   0    1/3  ALU  
PUSHFD   mem32,reg                          STACK   vector  ALU       3   0    1/3  ALU  
PUSHFQ   mem64,reg                          STACK   vector  ALU       3   0    1/3  ALU  
*POP     mem8/mem16/mem32/mem64             STACK   vector  ALU        3    0    1/1   ALU-3 
*POP     reg32/reg64                        STACK   single  ALU        3    0    2/1   ALU-3
*POP     SS                                 STACK   vector  ALU        26   0    1/16   ALU-26
*POP     reg16                              STACK   double  ALU        4    0    1/1   ALU-4
*POP     DS/ES/FS/GS                        STACK   vector  ALU        10   0    1/8   ALU-10
POPA     reg16,mem16                        STACK   vector  ALU       6    0    1/6   ALU-6
POPAD    reg32,mem32                        STACK   vector  ALU       6    0    1/6   ALU-6
POPF     reg16,mem                          STACK   vector  ALU       16   0    1/11   ALU-15
POPFD    reg32,mem                          STACK   vector  ALU       16   0    1/11   ALU-15
POPFQ    reg64,mem                          STACK   vector  ALU       16   0    1/11   ALU-15


/* Waleed: far calls take much longer, but don't know how to enter that */
*CALL    disp8/disp16/disp32/disp64/disp128        STACK   double  ALU        3    0    1/2   ALU-3
*CALL    reg8/reg16/reg32/reg64                    STACK   double  ALU        3    0    1/3   ALU-3
*CALL    mem8/mem16/mem32/mem64                    STACK   vector  ALU        4    0    1/3   ALU-3

/* Waleed: also near and far have different latencies? */
*RET     none                                      STACK   single  ALU       4    0    1/3   ALU-4
*RET     imm                                       STACK   double  ALU       4    0    1/3   ALU-4

SCAS     none/reg8/reg16/reg32/reg64          	   CMP     vector  ALU       4    0    1/2   ALU-4
SCASB    none/reg8                                 CMP     vector  ALU       4    0    1/2   ALU-4
SCASW    none/reg16                                CMP     vector  ALU       4    0    1/2   ALU-4
SCASD    none/reg32                                CMP     vector  ALU       4    0    1/2   ALU-4
SCASQ    none/reg64                                CMP     vector  ALU       4    0    1/2   ALU-4

XLAT     none            CPY     vector  ALU       5    0    1/5   ALU-5
XLATB    none            CPY     vector  ALU       5    0    1/5   ALU-5

BOUND    reg8/reg16/reg32/reg64,mem         ADD     vector  ALU       6    0    1/2   ALU-6 




/* Waleed: Some DIV's have ranges so I'm picking upper bound of range */
*DIV      reg8/mem8        DIV     vector  ALU      17  0    1/17  ALU   
*DIV      reg16/mem16      DIV     vector  ALU      30  0    1/30  ALU   
*DIV      reg32/mem32      DIV     vector  ALU      46  0    1/46  ALU   
*DIV      reg64/mem64      DIV     vector  ALU      78  0    1/78  ALU   
*IDIV      reg8            DIV     vector  ALU      19  0    1/19  ALU   
*IDIV      mem8            DIV     vector  ALU      22  0    1/22  ALU   
*IDIV      reg16/mem16     DIV     vector  ALU      39  0    1/39  ALU   
*IDIV      reg32/mem32     DIV     vector  ALU      55  0    1/55  ALU   
*IDIV      reg64/mem64     DIV     vector  ALU      87  0    1/87  ALU   

STOS     mem8/mem16/mem32/mem64,reg STS     vector  ALU       4    0    1/2   STORE-4
STOSB    mem8,reg                   STS     vector  ALU       4    0    1/2   STORE-4
STOSW    mem16,reg                  STS     vector  ALU       4    0    1/2   STORE-4
STOSD    mem32,reg                  STS     vector  ALU       4    0    1/2   STORE-4
STOSQ    mem64,reg                  STS     vector  ALU       4    0    1/2   STORE-4
STOS     none                       STS     vector  ALU       4    0    1/2   STORE-4
STOSB    none                       STS     vector  ALU       4    0    1/2   STORE-4
STOSW    none                       STS     vector  ALU       4    0    1/2   STORE-4
STOSD    none                       STS     vector  ALU       4    0    1/2   STORE-4
STOSQ    none                       STS     vector  ALU       4    0    1/2   STORE-4


MOVS     none/mem8/mem16/mem32/mem64   MOV     vector  ALU       5    0    1/3   STORE-5
MOVSB    none/mem8                     MOV     vector  ALU       5    0    1/3   STORE-5
MOVSW    none/mem16                    MOV     vector  ALU       5    0    1/3   STORE-5
MOVSD    none/mem32                    MOV     vector  ALU       5    0    1/3   STORE-5
MOVSQ    none/mem64                    MOV     vector  ALU       5    0    1/3   STORE-5

/* The MOVNTI instruction's latency is variable. It uses the processor's */
/* write-combining resources. Should microbenchmark to determine latency.*/
MOVNTI   mem,reg8/reg16/reg32/reg64         MOV     single  ALU        99   0    1/1   STORE-X
	
*CPUID   fn0x0           SPEC    vector  ALU        41   0    1/1   SPECIAL
*CPUID   fn0x1           SPEC    vector  ALU        127  0    1/1   SPECIAL
*CPUID   fn0x2           SPEC    vector  ALU        37   0    1/1   SPECIAL
*CPUID   none            SPEC    vector  ALU        164   0    1/1   SPECIAL

DAA      reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         SPEC    vector  ALU        7    0    1/7   SPECIAL
DAS      reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         SPEC    vector  ALU        7    0    1/7   SPECIAL

*ENTER   imm32,imm         STACK   vector  ALU        19   0    1/19   SPECIAL
/* Waleed: fixed NOPs, they go to ALU and single path decode */
NOP      none            SPEC    single    ALU       1    0    3/1   SPECIAL
NOP      reg8/reg16/reg32/reg64/mem8/mem16/mem32/mem64            SPEC    single    ALU       1    0    3/1   SPECIAL
NOP      mem,reg8/reg16/reg32/reg64                               SPEC    single    ALU       1    0    3/1   SPECIAL
NOP      reg8/reg16/reg32/reg64,mem                               SPEC    single    ALU       1    0    3/1   SPECIAL

RDTSC    none            SPEC    none    none       1    0    1/67   SPECIAL
SYSCALL  none            SPEC    none    none       1    0    1/1   SPECIAL

/* Waleed: I created a section for x87 FP instructions which was not there before */
FABS	none/mem32/mem64/mem80/reg32/reg64/reg80		   FABS	single	FMUL	    2    0    1/2   SPECIAL
FADD	none/mem32/mem64/mem80/reg32/reg64/reg80		   ADD	single	FADD	    4    0    1/1   SPECIAL
FADDP	none/mem32/mem64/mem80/reg32/reg64/reg80		   ADD	single	FADD	    4    0    1/1   SPECIAL
FADDR	none/mem32/mem64/mem80/reg32/reg64/reg80		   ADD	single	FADD	    4    0    1/1   SPECIAL
FADDRP none/mem32/mem64/mem80/reg32/reg64/reg80	      ADD	single	FADD	    4    0    1/1   SPECIAL
FBLD	none/mem32/mem64/mem80/reg32/reg64/reg80	      ADD	vector	FADD/FMUL/FSTORE	    94    0    1/30   SPECIAL
FBSTP	none/mem32/mem64/mem80/reg32/reg64/reg80	      ADD	vector	(FADD/FMUL)&FSTORE	             167    0    1/163   SPECIAL
FCHS	none/mem32/mem64/mem80/reg32/reg64/reg80		   FABS	single	FMUL	    2    0    1/2   SPECIAL
FCMOVcc	none/mem32/mem64/mem80/reg32/reg64/reg80	   MOV	vector	FADD/FMUL/FSTORE	    15    0    1/4   SPECIAL
FCOM	none/mem32/mem64/mem80/reg32/reg64/reg80		   FCOM	single	FADD	    2    0    1/1   SPECIAL
FCOMP	none/mem32/mem64/mem80/reg32/reg64/reg80		   FCOM	single	FADD	    2    0    1/1   SPECIAL
FCOMPP	none/mem32/mem64/mem80/reg32/reg64/reg80		FCOM	single	FADD	    2    0    1/1   SPECIAL
FUCOM	none/mem32/mem64/mem80/reg32/reg64/reg80		   FCOM	single	FADD	    2    0    1/1   SPECIAL
FUCOMP	none/mem32/mem64/mem80/reg32/reg64/reg80		FCOM	single	FADD	    2    0    1/1   SPECIAL
FUCOMPP	none/mem32/mem64/mem80/reg32/reg64/reg80		FCOM	single	FADD	    2    0    1/1   SPECIAL
FCOMI	none/mem32/mem64/mem80/reg32/reg64/reg80		   FCOM	vector	FADD	    3    0    1/1   SPECIAL
FCOMIP	none/mem32/mem64/mem80/reg32/reg64/reg80		FCOM	vector	FADD	    3    0    1/1   SPECIAL
FUCOMI	none/mem32/mem64/mem80/reg32/reg64/reg80	   FCOM	vector	FADD	    3    0    1/1   SPECIAL
FUCOMIP	none/mem32/mem64/mem80/reg32/reg64/reg80		FCOM	vector	FADD	    3    0    1/1   SPECIAL
FICOM	   none/mem32/mem64/mem80/reg32/reg64/reg80		FCOM	double	FADD&FSTORE	    9    0    1/1   SPECIAL
FICOMP	none/mem32/mem64/mem80/reg32/reg64/reg80		FCOM	double	FADD&FSTORE	    9    0    1/1   SPECIAL
FCOS	   none/mem32/mem64/mem80/reg32/reg64/reg80		FSIN	vector	FADD/FMUL	    93    0    1/90   SPECIAL
FDECSTP   none/mem32/mem64/mem80/reg32/reg64/reg80		MOV	single	FADD/FMUL/FSTORE    2    0    1/1   SPECIAL
FDIV	none/mem32/mem64/mem80/reg32/reg64/reg80		   FDIV	single	FMUL	    16    0    1/24   SPECIAL
FDIVP	none/mem32/mem64/mem80/reg32/reg64/reg80		   FDIV	single	FMUL	    16    0    1/24   SPECIAL
FDIVR	none/mem32/mem64/mem80/reg32/reg64/reg80		   FDIV	single	FMUL	    20    0    1/24   SPECIAL
FDIVRP	none/mem32/mem64/mem80/reg32/reg64/reg80		FDIV	single	FMUL	    24    0    1/24   SPECIAL
FFREE	none/mem32/mem64/mem80/reg32/reg64/reg80		   SPEC	single	FADD/FMUL/FSTORE	    2    0    1/1   SPECIAL
FIADD	none/mem32/mem64/mem80/reg32/reg64/reg80		   ADD	double	FADD&FSTORE	    11    0    1/4   SPECIAL
FIDIV	none/mem32/mem64/mem80/reg32/reg64/reg80		   FDIV	double	FADD&FSTORE	    31    0    1/24   SPECIAL
FIDIVR	none/mem32/mem64/mem80/reg32/reg64/reg80		FDIV	double	FADD&FSTORE	    31    0    1/24   SPECIAL
FILD	none/mem32/mem64/mem80/reg32/reg64/reg80  		LOAD	single	FSTORE	    6     0    1/1   SPECIAL
FIMUL	none/mem32/mem64/mem80/reg32/reg64/reg80  		FMUL	double	FADD&FSTORE	    11    0    1/4   SPECIAL
FINCSTP   none/mem32/mem64/mem80/reg32/reg64/reg80		MOV	single	FADD/FMUL/FSTORE    2    0    1/1   SPECIAL
FIST	none/mem32/mem64/mem80/reg32/reg64/reg80  		STORE	single	FSTORE	    4     0    1/1   SPECIAL
FISTP	none/mem32/mem64/mem80/reg32/reg64/reg80  		STORE	single	FSTORE	    4     0    1/1   SPECIAL
FISTTP none/mem32/mem64/mem80/reg32/reg64/reg80  		STORE	single	FSTORE	    4     0    1/1   SPECIAL
FISUB	none/mem32/mem64/mem80/reg32/reg64/reg80		   ADD	double	FADD&FSTORE	    11    0    1/4   SPECIAL
FISUBR	none/mem32/mem64/mem80/reg32/reg64/reg80		ADD	double	FADD&FSTORE	    11    0    1/4   SPECIAL
FLD	none/mem32/mem64/reg32/reg64/reg80  		      LOAD	single	FADD/FMUL/FSTORE	    2     0    2/1   SPECIAL
FLD	mem80  		                                    LOAD	vector	FADD/FMUL	    13     0    1/13   SPECIAL
FLD1	none/mem32/mem64/mem80/reg32/reg64/reg80        LOAD	single	FSTORE	    4    0    1/1   SPECIAL
FLDL2E	none/mem32/mem64/mem80/reg32/reg64/reg80     LOAD	single	FSTORE	    4    0    1/1   SPECIAL
FLDL2T	none/mem32/mem64/mem80/reg32/reg64/reg80     LOAD	single	FSTORE	    4    0    1/1   SPECIAL
FLDLG2	none/mem32/mem64/mem80/reg32/reg64/reg80     LOAD	single	FSTORE	    4    0    1/1   SPECIAL
FLDLN2	none/mem32/mem64/reg32/reg64/reg80        	LOAD	single	FSTORE	    4    0    1/1   SPECIAL
FLDPI	none/mem32/mem64/mem80/reg32/reg64/reg80        LOAD	single	FSTORE	    4    0    1/1   SPECIAL
FLDZ	none/mem32/mem64/mem80/reg32/reg64/reg80        LOAD	single	FSTORE	    4    0    1/1   SPECIAL
FLDCW	none/mem32/mem64/mem80/reg32/reg64/reg80		   LOAD	vector	(FADD/FMUL)&FSTORE	    14	 0    1/14   SPECIAL		    
FLDENV	none/mem32/mem64/mem80/reg32/reg64/reg80		LOAD	vector	(FADD/FMUL)&FSTORE	    116	 0    1/116   SPECIAL		    
FMUL	none/mem32/mem64/mem80/reg32/reg64/reg80		   FMUL	single	FMUL	    4    0    1/1   SPECIAL
FMULP	none/mem32/mem64/mem80/reg32/reg64/reg80		   FMUL	single	FMUL	    4    0    1/1   SPECIAL
FNCLEX	none/mem32/mem64/mem80/reg32/reg64/reg80		SPEC	vector	FSTORE	    17	 0    1/28   SPECIAL		    
FNINIT	none/mem32/mem64/mem80/reg32/reg64/reg80		SPEC	vector	FSTORE	    92	 0    1/103   SPECIAL		    
FNOP	none/mem32/mem64/mem80/reg32/reg64/reg80        LOAD	single	FADD/FMUL/FSTORE	    2    0    3/1   SPECIAL
FNSAVE	none/mem32/mem64/mem80/reg32/reg64/reg80     SPEC	vector	FADD/FMUL/FSTORE	    162    0    1/149   SPECIAL
FNSTCW	none/mem32/mem64/mem80/reg32/reg64/reg80     SPEC	vector	FADD/FMUL/FSTORE	    2    0    1/1   SPECIAL
FNSTENV	none/mem32/mem64/mem80/reg32/reg64/reg80     SPEC	vector	(FADD/FMUL)&FSTORE	    76    0    1/76   SPECIAL
FNSTSW	none/mem32/mem64/mem80/reg32/reg64/reg80     SPEC	vector	FADD/FMUL/FSTORE	    9    0    1/9   SPECIAL
FPATAN	none/mem32/mem64/mem80/reg32/reg64/reg80     SPEC	vector	FADD/FMUL/FSTORE	    151    0    1/151   SPECIAL
FPREM	none/mem32/mem64/mem80/reg32/reg64/reg80  		FPREM	single	FMUL	    40    0    1/7   SPECIAL
FPREM1	none/mem32/mem64/mem80/reg32/reg64/reg80  	FPREM	single	FMUL	    40    0    1/7   SPECIAL
FPTAN	none/mem32/mem64/mem80/reg32/reg64/reg80        SPEC	vector	FADD/FMUL/FSTORE	    109    0    1/109   SPECIAL
FRNDINT	none/mem32/mem64/mem80/reg32/reg64/reg80     SPEC	vector	FADD/FMUL/FSTORE	    10    0    1/37   SPECIAL
FRSTOR	none/mem32/mem64/mem80/reg32/reg64/reg80     SPEC	vector	FADD/FMUL/FSTORE	    133    0    1/149   SPECIAL
FSCALE	none/mem32/mem64/mem80/reg32/reg64/reg80     SPEC	vector	FADD/FMUL/FSTORE	    9    0    1/29   SPECIAL
FSIN	none/mem32/mem64/mem80/reg32/reg64/reg80		   FSIN	vector	FADD/FMUL	    93    0    1/51   SPECIAL
FSINCOS	none/mem32/mem64/mem80/reg32/reg64/reg80		FSIN	vector	FADD/FMUL	    125    0    1/125   SPECIAL
FSQRT 	none/mem32/mem64/mem80/reg32/reg64/reg80		FSIN	single	FMUL     	    35    0    1/35   SPECIAL
FST	none/mem32/mem64/reg32/mem80/reg64/reg80	      STORE	single	FADD/FMUL/FSTORE	    2     0    2/1   SPECIAL
FSTP	none/mem32/mem64/reg32/reg64/reg80  		      STORE	single	FADD/FMUL/FSTORE	    2     0    2/1   SPECIAL
FSTP	mem80  		                                    STORE	vector	FADD/FMUL	    8     0    1/7   SPECIAL
FSTSW	none/mem32/mem64/mem80/reg32/reg64/reg80  		STORE	vector	(FADD/FMUL)&FSTORE	    14    0    1/14   SPECIAL
FSUB	none/mem32/mem64/mem80/reg32/reg64/reg80  		ADD	single	FADD	    4    0    1/1   SPECIAL
FSUBP	none/mem32/mem64/mem80/reg32/reg64/reg80  		ADD	single	FADD	    4    0    1/1   SPECIAL
FSUBR	none/mem32/mem64/mem80/reg32/reg64/reg80  		ADD	single	FADD	    4    0    1/1   SPECIAL
FSUBRP	none/mem32/mem64/mem80/reg32/reg64/reg80 		ADD	single	FADD	    4    0    1/1   SPECIAL
FTST	none/mem32/mem64/mem80/reg32/reg64/reg80		   FTST	single	FADD	    2    0    1/1   SPECIAL
FWAIT	none/mem32/mem64/mem80/reg32/reg64/reg80		   WAIT	single	FADD/FMUL/FSTORE	    1    0    1/1   SPECIAL
FXAM	none/mem32/mem64/mem80/reg32/reg64/reg80		   FTST	vector	FSTORE&ALU	    2    0    1/1   SPECIAL
FXCH	none/mem32/mem64/mem80/reg32/reg64/reg80        MOV	single	FADD/FMUL/FSTORE	    2    0    3/1   SPECIAL
FXCH	reg8/reg16                 		               MOV	single	FADD/FMUL/FSTORE	    2    0    3/1   SPECIAL
FXRSTOR	none/mem32/mem64/mem80/reg32/reg64/reg80     SPEC	vector	FADD/FMUL/FSTORE	    89   0    1/89   SPECIAL
FXSAVE	none/mem32/mem64/mem80/reg32/reg64/reg80     SPEC	vector	FADD/FMUL/FSTORE	    63   0    1/58   SPECIAL
FXTRACT	none/mem32/mem64/mem80/reg32/reg64/reg80     SPEC	vector	FADD/FMUL/FSTORE	    9   0    1/41   SPECIAL
FYL2X	none/mem32/mem64/mem80/reg32/reg64/reg80        SPEC	vector	FADD/FMUL/FSTORE	    13   0    1/30   SPECIAL
FYL2XP1	none/mem32/mem64/mem80/reg32/reg64/reg80     SPEC	vector	FADD/FMUL/FSTORE	    114   0    1/44   SPECIAL

/* When processing measured benchmark instruction mixes, some instructions that appear in the mix do not exist */
/*   in the instruction table (above). They either do not appear at all or have different operands. */
/*	So, whenever I find a missing instruction, I add it here. */

MFENCE	none		MFENCE	vector	none	    33	 0    1/33   SPECIAL		    
SFENCE	none		MFENCE	vector	none	    33	 0    1/33   SPECIAL		    
EMMS	none		EMMS	vector	FADD/FMUL/FSTORE	    1	 0    3/1   SPECIAL		    

PREFETCHT0	mem8/mem16/mem32/mem64		PREFETCH	single	ALU	    1     0    1/1   SPECIAL
PREFETCHT1	mem8/mem16/mem32/mem64		PREFETCH	single	ALU	    1     0    1/1   SPECIAL
PREFETCHT2	mem8/mem16/mem32/mem64		PREFETCH	single	ALU	    1     0    1/1   SPECIAL
PREFETCHTA	mem8/mem16/mem32/mem64		PREFETCH	single	ALU	    1     0    1/1   SPECIAL
PREFETCHNTA	mem8/mem16/mem32/mem64/mem512		PREFETCH	single	ALU	    1     0    1/1   SPECIAL



